fold,period_idx,date,split,id,weight,p_hat,c_exec,implied,next_implied,edge
53,53,2025-06-25 00:00:00+00:00,train,553879,0.06711173549597096,0.04603265227025296,0.0015,0.0015,0.0015,0.04453265227025296
53,53,2025-06-25 00:00:00+00:00,train,553881,0.05946397475297864,0.047716706894961235,0.004,0.004,0.004,0.04371670689496124
54,54,2025-06-26 00:00:00+00:00,train,540819,0.0,0.4673430247251277,0.485,0.485,0.485,-0.01765697527487231
54,54,2025-06-26 00:00:00+00:00,train,540843,0.0025982000279046696,0.545855286622838,0.51,0.51,0.51,0.03585528662283799
54,54,2025-06-26 00:00:00+00:00,train,540844,0.0,0.46057917213507393,0.494,0.494,0.494,-0.03342082786492606
54,54,2025-06-26 00:00:00+00:00,train,553824,0.0,0.03795054856595522,0.175,0.175,0.175,-0.13704945143404476
54,54,2025-06-26 00:00:00+00:00,train,553826,0.01032846287147127,0.037874778091671925,0.085,0.085,0.085,-0.04712522190832808
54,54,2025-06-26 00:00:00+00:00,train,553827,0.013498292630809454,0.0446324941748985,0.058,0.058,0.058,-0.013367505825101503
54,54,2025-06-26 00:00:00+00:00,train,553828,0.0,0.059493043781772705,0.2525,0.2525,0.2525,-0.1930069562182273
54,54,2025-06-26 00:00:00+00:00,train,553829,0.012290934599766606,0.04702717330112473,0.0795,0.0795,0.0795,-0.03247282669887527
54,54,2025-06-26 00:00:00+00:00,train,553830,0.005655503834323421,0.04984825306676917,0.0845,0.0845,0.0845,-0.03465174693323084
54,54,2025-06-26 00:00:00+00:00,train,553831,0.02266573128365887,0.051069428147209064,0.0065,0.0065,0.0065,0.044569428147209066
54,54,2025-06-26 00:00:00+00:00,train,553837,0.07460908858445352,0.04076301911768954,0.0165,0.0165,0.0165,0.024263019117689542
54,54,2025-06-26 00:00:00+00:00,train,553838,0.05058901841368614,0.059072637686028814,0.0615,0.0615,0.0615,-0.0024273623139711847
54,54,2025-06-26 00:00:00+00:00,train,553839,0.037979526510124734,0.038774823633445005,0.0095,0.0095,0.0095,0.029274823633445003
54,54,2025-06-26 00:00:00+00:00,train,553843,0.051312756653642516,0.041664945141186197,0.026,0.026,0.026,0.015664945141186198
54,54,2025-06-26 00:00:00+00:00,train,553848,0.04332482204380853,0.035630426874966946,0.0105,0.0105,0.0105,0.025130426874966943
54,54,2025-06-26 00:00:00+00:00,train,553849,0.030791699850545407,0.0451210041675067,0.0455,0.0455,0.0455,-0.00037899583249329655
54,54,2025-06-26 00:00:00+00:00,train,553850,0.04315053922947772,0.038414015852396274,0.0085,0.0085,0.0085,0.029914015852396274
54,54,2025-06-26 00:00:00+00:00,train,553851,0.0,0.04988486807244339,0.071,0.071,0.071,-0.021115131927556603
54,54,2025-06-26 00:00:00+00:00,train,553852,0.04956614370350999,0.03980694129627351,0.0125,0.0125,0.0125,0.02730694129627351
54,54,2025-06-26 00:00:00+00:00,train,553856,0.0,0.04791215321547778,0.485,0.485,0.485,-0.4370878467845222
