fold,id,weight,p_hat,c_exec,implied,edge
1,564205,0.0003601583049201437,0.08138005835362903,0.0035,0.0035,0.07788005835362903
1,569356,0.0005492352127210548,0.09352367124846946,0.001,0.0005,0.09252367124846946
1,559669,0.0,0.03530678556569613,0.0125,0.0125,0.02280678556569613
1,561988,0.0,0.033498705890366944,0.0085,0.0085,0.024998705890366943
1,567621,0.0,0.03723669834163681,0.0745,0.0745,-0.03726330165836319
1,561982,0.0,0.02514781149788232,0.0075,0.0075,0.01764781149788232
1,601820,0.00018005862011048076,0.07043629341186729,0.0065,0.0065,0.06393629341186728
1,558962,0.0,0.030793070386038655,0.0015,0.0015,0.029293070386038653
1,561245,0.0,0.02623691863018652,0.0085,0.0085,0.01773691863018652
1,561238,0.0,0.028237674927867412,0.0105,0.0105,0.01773767492786741
1,553879,0.0,0.044840872523097014,0.0015,0.0015,0.04334087252309701
1,553859,0.0,0.0609325694332745,0.015,0.015,0.0459325694332745
1,566193,0.0,0.04554948552548701,0.001,0.0005,0.04454948552548701
1,558934,0.0,0.04061169206311855,0.1615,0.1615,-0.12088830793688146
1,601819,0.0,0.07102164785023164,0.385,0.385,-0.3139783521497684
1,564223,0.0006276663407738667,0.10010034736881744,0.0015,0.0015,0.09860034736881744
1,559662,0.0,0.02554758214275434,0.0105,0.0105,0.015047582142754338
1,559677,0.0,0.02183801322067954,0.0075,0.0075,0.01433801322067954
1,559660,0.0,0.03423774651832059,0.0235,0.0235,0.010737746518320587
1,561986,0.0,0.026016509983938504,0.0065,0.0065,0.019516509983938505
1,566186,0.0,0.04608449242150153,0.001,0.0005,0.04508449242150153
1,599323,0.0,0.09437083101786482,0.915,0.915,-0.8206291689821352
1,599324,0.0,0.1023044433783624,0.085,0.085,0.0173044433783624
1,558937,0.0,0.04061297554168913,0.085,0.085,-0.04438702445831088
1,558951,0.0,0.04190893605377661,0.0235,0.0235,0.01840893605377661
1,558947,0.0,0.038779001327010065,0.0165,0.0165,0.022279001327010065
1,559651,0.0,0.061360684738083454,0.064,0.064,-0.002639315261916547
1,566146,0.0,0.05816847807396588,0.116,0.116,-0.05783152192603413
1,558945,0.0,0.038192113921534605,0.0105,0.0105,0.027692113921534603
1,561249,0.0,0.025894649348585715,0.0095,0.0095,0.016394649348585713
1,561246,0.0,0.04385915074401262,0.0155,0.0155,0.028359150744012622
1,601822,0.00026953985731858115,0.07636377081777383,0.0055,0.0055,0.07086377081777383
1,561999,0.0,0.025407221187062127,0.0075,0.0075,0.017907221187062127
1,561992,0.0,0.025076827290059098,0.0085,0.0085,0.016576827290059097
1,561990,0.0,0.025344023557485867,0.0115,0.0115,0.013844023557485867
1,561980,0.0,0.03207934492002459,0.0095,0.0095,0.022579344920024585
1,561985,0.0,0.03173568034545256,0.0085,0.0085,0.023235680345452557
1,559667,0.0,0.025128360586063894,0.0105,0.0105,0.014628360586063894
1,567687,0.0,0.046376349346479495,0.295,0.295,-0.2486236506535205
1,564210,0.0,0.1048076368264216,0.615,0.615,-0.5101923631735784
1,566188,0.0,0.05307243269006299,0.575,0.575,-0.521927567309937
1,561996,0.0,0.04146289859965545,0.0495,0.0495,-0.008037101400344554
1,561236,0.0,0.03212515975167399,0.0095,0.0095,0.022625159751673986
1,601818,3.025198132471524e-05,0.055840966604349354,0.0035,0.0035,0.05234096660434935
1,558944,0.0,0.03617917078217489,0.0095,0.0095,0.02667917078217489
1,564211,0.0,0.11420657551869426,0.125,0.125,-0.010793424481305741
1,561239,0.0,0.04507375265638452,0.0415,0.0415,0.0035737526563845157
1,559664,0.0,0.02389117178731852,0.0075,0.0075,0.01639117178731852
