fold,period_idx,date,split,pnl_realized_next_step,objective,turnover_l1,risk_cov,risk_diag_equiv
291,291,2026-02-18 00:00:00+00:00,test,-0.00011574035071007134,0.04707558694632221,0.14154927474375134,0.0009232424209627486,0.0009232267660005723
292,292,2026-02-19 00:00:00+00:00,test,-0.00011334453913152949,0.052202980858695354,0.04723451819890052,0.0009784237987216868,0.0009784073696652877
293,293,2026-02-20 00:00:00+00:00,test,-0.00011428571428571431,0.04717197403049891,0.1456271449423396,0.0008414201185244501,0.0008414058328101644
294,294,2026-02-21 00:00:00+00:00,test,-0.00010810810810810812,0.05171122319034748,0.0540540540540541,0.0007921429170248471,0.0007921294035113336
295,295,2026-02-22 00:00:00+00:00,test,-0.00010810810810810812,0.054391551444657384,0.0,0.0007918697594954719,0.0007918562459819584
296,296,2026-02-23 00:00:00+00:00,test,-0.00010810810810810812,0.05436964809393315,0.0,0.0007916022742219016,0.0007915887607083882
297,297,2026-02-24 00:00:00+00:00,test,-0.00010810810810810812,0.054348217074993196,0.0,0.0007913404761174735,0.00079132696260396
298,298,2026-02-25 00:00:00+00:00,test,-0.00010810810810810812,0.054327260215882946,0.0,0.0007910843871531128,0.0007910708736395994
299,299,2026-02-26 00:00:00+00:00,test,-0.00010810810810810812,0.05430677997376155,0.0,0.0007908340367731837,0.0007908205232596702
300,300,2026-02-27 00:00:00+00:00,test,-0.00010810810810810812,0.05428677947435192,0.0,0.0007905894623612635,0.00079057594884775
301,301,2026-02-28 00:00:00+00:00,test,-0.00010810810810810812,0.054267262556407514,0.0,0.0007903507097646819,0.0007903371962511683
302,302,2026-03-01 00:00:00+00:00,test,-0.00010973077078031728,0.03655990511384473,0.3341858427096164,0.0011993701415425374,0.0011993497612756447
303,303,2026-03-02 00:00:00+00:00,test,-0.00011475409836065573,0.04180567782910158,0.25596284186029583,0.0009787896275414384,0.0009787732340988155
304,304,2026-03-03 00:00:00+00:00,test,-0.0001111111111111111,0.04640387316437978,0.15690690690690678,0.0008139671127413642,0.0008139532238524751
305,305,2026-03-04 00:00:00+00:00,test,-0.00010958904109589039,0.05356335787930852,0.013883746760459087,0.0008017751255705574,0.0008017614269404206
306,306,2026-03-05 00:00:00+00:00,test,-0.00010810810810810812,0.053477800661455244,0.013513513513513403,0.0007889748243874911,0.0007889613108739775
307,307,2026-03-06 00:00:00+00:00,test,-0.00010810810810810812,0.054136935596176036,0.0,0.0007887718622911206,0.0007887583487776071
308,308,2026-03-07 00:00:00+00:00,test,-0.00010988218881004299,0.05317614989110837,0.018419939121314143,0.0007993921756253248,0.0007993784699377281
309,309,2026-03-08 00:00:00+00:00,test,-0.00010810810810810812,0.053184184494513974,0.018419939121314143,0.0007883825019921671,0.0007883689884786538
310,310,2026-03-09 00:00:00+00:00,test,-0.00010810810810810812,0.05409028823907059,0.0,0.0007881993424991363,0.0007881858289856228
311,311,2026-03-10 00:00:00+00:00,test,-0.00010810810810810812,0.054075970981367585,0.0,0.0007880231035183935,0.00078800959000488
312,312,2026-03-11 00:00:00+00:00,test,-0.00010810810810810812,0.054062246504853986,0.0,0.0007878539844150914,0.0007878404709015779
313,313,2026-03-12 00:00:00+00:00,test,-0.00011288255431158794,0.05053981030628607,0.06495361340859529,0.0008328790942901285,0.0008328647819451422
314,314,2026-03-13 00:00:00+00:00,test,-0.0001122343455414162,0.021242051797903755,0.7103341590277635,0.0023420650607379823,0.002342027664515939
315,315,2026-03-14 00:00:00+00:00,test,-0.00011318306848845566,0.02210136904626906,0.684927356872215,0.0010365708170189864,0.001036553729276123
316,316,2026-03-15 00:00:00+00:00,test,-0.00013011480766808413,0.0448534480975281,0.22777002202354021,0.0012876128220286997,0.001287591312136575
317,317,2026-03-16 00:00:00+00:00,test,-0.00015267869765198843,0.040411927265712695,0.26471420889648517,0.0016561673709092066,0.0016561391045039823
318,318,2026-03-17 00:00:00+00:00,test,-0.00010462538862260939,0.029598648160487954,0.5272247313855885,0.0009542941783930606,0.0009542782276900775
319,319,2026-03-18 00:00:00+00:00,test,-0.00010315601934967129,0.05448037969229318,0.028063949793040575,0.0009446665942697967,0.0009446508387445196
320,320,2026-03-19 00:00:00+00:00,test,-0.00013140723615216458,0.04102014696252356,0.2889632041542776,0.001291612694199537,0.0012915909158659608
321,321,2026-03-20 00:00:00+00:00,test,-0.00010328101789702338,0.04141371811872672,0.28963972584268716,0.0009467904569756513,0.0009467746672289919
322,322,2026-03-21 00:00:00+00:00,test,-0.0001032201302411645,0.05582428564618008,0.0012151301007617315,0.0009456002898062655,0.000945584518039535
323,323,2026-03-22 00:00:00+00:00,test,-0.00010316970621366154,0.05582516063927815,0.001014218383172256,0.0009446403322277452,0.0009446245747988204
324,324,2026-03-23 00:00:00+00:00,test,-0.00010223536311446978,0.054855450171267306,0.018180832072212893,0.000931012581228185,0.0009309970258773712
325,325,2026-03-24 00:00:00+00:00,test,-0.00010157045680257709,0.05502811042457923,0.012954383247102793,0.0009256984165921898,0.0009256829025683567
326,326,2026-03-25 00:00:00+00:00,test,-0.00010156250000000001,0.05532889184049829,0.00734621956380101,0.0009322990510091365,0.0009322834260091365
327,327,2026-03-26 00:00:00+00:00,test,-0.00010151551985237562,0.05550365863237157,0.0036000410351940877,0.0009289680118741965,0.0009289524419969897
328,328,2026-03-27 00:00:00+00:00,test,-0.00010164110844172477,0.05554003688097501,0.002712938570465568,0.0009267727770951861,0.0009267572434601375
329,329,2026-03-28 00:00:00+00:00,test,-0.00010780428342140025,0.05167852832981335,0.06025102631533945,0.0008894970538165967,0.0008894819334378779
